minecraft:missingno	x=1152	y=0	w=16	h=16
minecraft:trims/entity/humanoid_leggings/eye_iron	x=512	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_iron_darker	x=576	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_lapis	x=640	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite	x=704	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite_darker	x=768	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_quartz	x=832	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_redstone	x=896	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_resin	x=960	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_amethyst	x=0	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper	x=64	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper_darker	x=128	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond	x=192	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond_darker	x=256	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_emerald	x=320	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold	x=384	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold_darker	x=448	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron	x=512	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron_darker	x=576	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_lapis	x=640	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite	x=704	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite_darker	x=768	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_quartz	x=832	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_redstone	x=896	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_resin	x=960	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_amethyst	x=0	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper	x=64	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper_darker	x=128	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond	x=192	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond_darker	x=256	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_emerald	x=320	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold	x=384	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold_darker	x=448	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron	x=512	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron_darker	x=576	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_lapis	x=640	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite	x=704	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite_darker	x=768	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_quartz	x=832	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_redstone	x=896	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_resin	x=960	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_amethyst	x=0	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper	x=64	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper_darker	x=128	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond	x=192	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond_darker	x=256	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_emerald	x=320	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold	x=384	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold_darker	x=448	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron	x=512	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron_darker	x=576	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_lapis	x=640	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite	x=704	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite_darker	x=768	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_quartz	x=832	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_redstone	x=896	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_resin	x=960	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_amethyst	x=0	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper	x=64	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper_darker	x=128	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond	x=192	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond_darker	x=256	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_emerald	x=320	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold	x=384	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold_darker	x=448	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron	x=512	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron_darker	x=576	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_lapis	x=640	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite	x=704	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite_darker	x=768	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_quartz	x=832	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_redstone	x=896	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_resin	x=960	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_amethyst	x=0	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper	x=64	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper_darker	x=128	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond	x=192	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond_darker	x=256	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_emerald	x=320	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold	x=384	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold_darker	x=448	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron	x=512	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron_darker	x=576	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_lapis	x=640	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite	x=704	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite_darker	x=768	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_quartz	x=832	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_redstone	x=896	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_resin	x=960	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_amethyst	x=0	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper	x=64	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper_darker	x=128	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond	x=192	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond_darker	x=256	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_emerald	x=320	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold	x=384	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold_darker	x=448	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron	x=512	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron_darker	x=576	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_lapis	x=640	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite	x=704	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite_darker	x=768	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_quartz	x=832	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_redstone	x=896	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_resin	x=960	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_amethyst	x=0	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper	x=64	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper_darker	x=128	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond	x=192	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond_darker	x=256	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_emerald	x=320	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold	x=384	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold_darker	x=448	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron	x=512	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron_darker	x=576	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_lapis	x=640	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite	x=704	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite_darker	x=768	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_quartz	x=832	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_redstone	x=896	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_resin	x=960	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_amethyst	x=0	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper	x=64	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper_darker	x=128	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond	x=192	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond_darker	x=256	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_emerald	x=320	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold	x=384	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold_darker	x=448	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron	x=512	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron_darker	x=576	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_lapis	x=640	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite	x=704	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite_darker	x=768	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_quartz	x=832	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_redstone	x=896	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_resin	x=960	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_amethyst	x=0	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper	x=64	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper_darker	x=128	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond	x=192	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond_darker	x=256	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_emerald	x=320	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold	x=384	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold_darker	x=448	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron	x=512	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron_darker	x=576	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_lapis	x=640	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite	x=704	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite_darker	x=768	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_quartz	x=832	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_redstone	x=896	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_resin	x=960	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_amethyst	x=0	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper	x=64	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper_darker	x=128	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond	x=192	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond_darker	x=256	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_emerald	x=320	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold	x=384	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold_darker	x=448	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron	x=512	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron_darker	x=576	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_lapis	x=640	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite	x=704	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite_darker	x=768	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_quartz	x=832	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_redstone	x=896	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_resin	x=960	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_amethyst	x=1024	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper	x=1024	y=32	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper_darker	x=1024	y=64	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond	x=1024	y=96	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond_darker	x=1024	y=128	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_emerald	x=1024	y=160	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold	x=1024	y=192	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold_darker	x=1024	y=224	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron	x=1024	y=256	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron_darker	x=1024	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_lapis	x=1024	y=320	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite	x=1024	y=352	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite_darker	x=1024	y=384	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_quartz	x=1024	y=416	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_redstone	x=1024	y=448	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_resin	x=1024	y=480	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_amethyst	x=1024	y=512	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper	x=1024	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper_darker	x=1024	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond	x=1024	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond_darker	x=1024	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_emerald	x=1024	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold	x=1024	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold_darker	x=1024	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron	x=1024	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron_darker	x=1024	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_lapis	x=1024	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite	x=1024	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite_darker	x=1024	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_quartz	x=1024	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_redstone	x=1024	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_resin	x=1024	y=992	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_amethyst	x=1088	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper	x=1088	y=32	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper_darker	x=1088	y=64	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond	x=1088	y=96	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond_darker	x=1088	y=128	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_emerald	x=1088	y=160	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold	x=1088	y=192	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold_darker	x=1088	y=224	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron	x=1088	y=256	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron_darker	x=1088	y=288	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_lapis	x=1088	y=320	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite	x=1088	y=352	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite_darker	x=1088	y=384	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_quartz	x=1088	y=416	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_redstone	x=1088	y=448	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_resin	x=1088	y=480	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_amethyst	x=1088	y=512	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper	x=1088	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper_darker	x=1088	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond	x=1088	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond_darker	x=1088	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_emerald	x=1088	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold	x=1088	y=704	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold_darker	x=1088	y=736	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron	x=1088	y=768	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron_darker	x=1088	y=800	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_lapis	x=1088	y=832	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite	x=1088	y=864	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite_darker	x=1088	y=896	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_quartz	x=1088	y=928	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_redstone	x=1088	y=960	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_resin	x=1088	y=992	w=64	h=32
